"","species_id","bwg_name","domain","kingdom","phylum","subphylum","class","subclass","ord","subord","family","subfamily","tribe","genus","species","functional_group","BS1","BS2","BS3","BS4","BS5","LO1","LO2","LO3","LO4","LO5","LO6","LO7","MD1","MD2","MD3","MD4","MD5","MD6","MD7","MD8","BF1","BF2","BF3","BF4","stage","length_mm","biomass_type","biomass_mg","provenance","provenance_species","closest_relative","num_relatives","shared_taxon","r_squared","sample_size","intercept","slope","abundance","ln_intercept"
"517","4496","Diptera.428","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"filter.feeder",0,2,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"518","4501","Diptera.100","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"519","4506","Diptera.112","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae",NA,NA,NA,NA,"filter.feeder",0,2,2,1,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"520","4511","Diptera.306","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"filter.feeder",0,2,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"521","4516","Coleoptera.52","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Adephaga","Dytiscidae",NA,NA,NA,NA,"engulfer",0,3,0,0,0,1,1,3,1,0,0,0,0,0,1,1,0,3,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"522","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.37,"dry",0.0181437967132461,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"523","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.98,"dry",0.0103959307695812,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"524","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",0.74,"dry",0.000493033085446248,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"525","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.73,"dry",0.00684367049856916,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"526","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.57,"dry",0.0233192199286074,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"527","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.52,"dry",0.0219423986761881,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"528","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.14,"dry",0.00188017779500304,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"529","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",0.89,"dry",0.000873310404518348,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"530","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.33,"dry",0.00303087832288231,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"531","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.07,"dry",0.0119305824174222,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"532","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.53,"dry",0.00467758274320279,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"533","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.72,"dry",0.0277986719693338,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"534","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.22,"dry",0.0148174237633043,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"535","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.78,"dry",0.0297423919843008,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"536","4521","Diptera.101","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) shopei","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.17,"dry",0.0138079150884702,"length.interpolate","exact",NA,NA,NA,0.935314256196617,9,-2.9020654738603,3.09752840148947,1,NA
"537","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1,"dry",0.0062,"length.raw","exact",NA,NA,NA,NA,NA,NA,NA,1,NA
"538","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",3,"dry",0.0283361626425112,"length.interpolate","exact",NA,NA,NA,0.668011085650097,8,-2.53761331326687,2.07484856327302,1,NA
"539","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2,"dry",0.0122173872773443,"length.interpolate","exact",NA,NA,NA,0.668011085650097,8,-2.53761331326687,2.07484856327302,1,NA
"540","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",4,"dry",0.0514718756961466,"length.interpolate","exact",NA,NA,NA,0.668011085650097,8,-2.53761331326687,2.07484856327302,1,NA
"541","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",5,"dry",0.0817793390096983,"length.interpolate","exact",NA,NA,NA,0.668011085650097,8,-2.53761331326687,2.07484856327302,1,NA
"542","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",7,"dry",0.164375520439094,"length.interpolate","exact",NA,NA,NA,0.668011085650097,8,-2.53761331326687,2.07484856327302,1,NA
"543","4526","Diptera.102","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",6,"dry",0.119380306781776,"length.interpolate","exact",NA,NA,NA,0.668011085650097,8,-2.53761331326687,2.07484856327302,1,NA
"544","4531","Diptera.465","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"545","4536","Diptera.466","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"546","4541","Diptera.103","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) worontzowi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2,"dry",0.032,"length.raw","exact",NA,NA,NA,NA,NA,NA,NA,1,NA
"547","4541","Diptera.103","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) worontzowi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",5,"dry",0.0547705722423389,"length.interpolate","exact",NA,NA,NA,0.475134537610729,9,-1.85436513763502,0.848265894692769,1,NA
"548","4541","Diptera.103","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) worontzowi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",4,"dry",0.0453254181702826,"length.interpolate","exact",NA,NA,NA,0.475134537610729,9,-1.85436513763502,0.848265894692769,1,NA
"549","4541","Diptera.103","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) worontzowi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",3,"dry",0.0355108076879851,"length.interpolate","exact",NA,NA,NA,0.475134537610729,9,-1.85436513763502,0.848265894692769,1,NA
"550","4541","Diptera.103","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) worontzowi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1,"dry",0.0139841109940034,"length.interpolate","exact",NA,NA,NA,0.475134537610729,9,-1.85436513763502,0.848265894692769,1,NA
"551","4546","Diptera.104","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",3,"dry",0.0511,"length.raw","related","Diptera.463;Diptera.464",15,"genus",NA,NA,NA,NA,1,NA
"552","4546","Diptera.104","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",4,"dry",0.0812,"length.raw","related","Diptera.105;Diptera.373;Diptera.462",15,"genus",NA,NA,NA,NA,1,NA
"553","4546","Diptera.104","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",5,"dry",0.1789,"length.raw","related","Diptera.463;Diptera.113",15,"genus",NA,NA,NA,NA,1,NA
"554","4546","Diptera.104","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",6,"dry",0.165887081897469,"length.interpolate","related","Diptera.101;Diptera.102;Diptera.103;Diptera.105;Diptera.113;Diptera.373;Diptera.459;Diptera.460;Diptera.462;Diptera.463;Diptera.464;Diptera.465;Diptera.467;Diptera.99",15,"genus",0.673819047511031,15,-2.36149427563909,2.03213301070262,1,NA
"555","4546","Diptera.104","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1,"dry",0.0049,"length.raw","related","Diptera.463;Diptera.113;Diptera.462;Diptera.102;Diptera.465",15,"genus",NA,NA,NA,NA,1,NA
"556","4546","Diptera.104","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2,"dry",0.0169,"length.raw","related","Diptera.105;Diptera.373;Diptera.101;Diptera.462;Diptera.103",15,"genus",NA,NA,NA,NA,1,NA
"557","4551","Diptera.105","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) aphylactus","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.23,"dry",0.00723281118745744,"length.interpolate","exact",NA,NA,NA,0.832192092256758,11,-2.32283448036967,2.02593162325036,1,NA
"558","4551","Diptera.105","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) aphylactus","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",3.7,"dry",0.067344690416096,"length.interpolate","exact",NA,NA,NA,0.832192092256758,11,-2.32283448036967,2.02593162325036,1,NA
"559","4551","Diptera.105","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) aphylactus","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.37,"dry",0.0273136691543939,"length.interpolate","exact",NA,NA,NA,0.832192092256758,11,-2.32283448036967,2.02593162325036,1,NA
"560","4556","Diptera.106","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",4,"dry",0.0812,"length.raw","related","Diptera.105;Diptera.373;Diptera.462",15,"genus",NA,NA,NA,NA,1,NA
"561","4556","Diptera.106","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",3,"dry",0.0511,"length.raw","related","Diptera.463;Diptera.464",15,"genus",NA,NA,NA,NA,1,NA
"562","4556","Diptera.106","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",5,"dry",0.1789,"length.raw","related","Diptera.463;Diptera.113",15,"genus",NA,NA,NA,NA,1,NA
"563","4556","Diptera.106","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1,"dry",0.0049,"length.raw","related","Diptera.463;Diptera.113;Diptera.462;Diptera.102;Diptera.465",15,"genus",NA,NA,NA,NA,1,NA
"564","4556","Diptera.106","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2,"dry",0.0169,"length.raw","related","Diptera.105;Diptera.373;Diptera.101;Diptera.462;Diptera.103",15,"genus",NA,NA,NA,NA,1,NA
"565","4561","Diptera.111","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex",NA,"filter.feeder",0,3,1,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"566","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.22,"dry",0.0296040302118559,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"567","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.98,"dry",0.0248046069129286,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"568","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.27,"dry",0.0306411699957995,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"569","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.62,"dry",0.0382458782849752,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"570","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.91,"dry",0.0449852855601427,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"571","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.47,"dry",0.0349140095418373,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"572","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.73,"dry",0.0201328776209332,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"573","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.68,"dry",0.0192404146143045,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"574","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",2.77,"dry",0.0416835920737149,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"575","4566","Diptera.113","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Culex","(Microculex) davisi","filter.feeder",0,3,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1.04,"dry",0.00916673956100484,"length.interpolate","exact",NA,NA,NA,0.385756280066198,21,-2.06411905283022,1.54602365528544,1,NA
"576","4571","Coleoptera.62","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Adephaga","Dytiscidae",NA,NA,NA,NA,"engulfer",0,3,0,0,0,1,1,3,1,0,0,0,0,0,1,1,0,3,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"577","4576","Diptera.284","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Toxorhynchites",NA,"engulfer",0,0,0,3,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"578","4581","Diptera.300","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"filter.feeder",0,2,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",1,"dry",0.00109523663007723,"length.interpolate","related","Diptera.456;Diptera.457;Diptera.461",4,"genus",0.880397522929125,19,-2.96049203969658,2.97963458352379,1,NA
"579","4581","Diptera.300","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"filter.feeder",0,2,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",8,"dry",0.552626848371513,"length.interpolate","related","Diptera.456;Diptera.457;Diptera.461",4,"genus",0.810533386766322,6,-2.75887402736784,2.76971956715058,1,NA
"580","4581","Diptera.300","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"filter.feeder",0,2,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",5,"dry",0.14,"length.raw","related","Diptera.457",4,"genus",NA,NA,NA,NA,1,NA
"581","4581","Diptera.300","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Culicidae","Culicinae",NA,"Wyeomyia",NA,"filter.feeder",0,2,3,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,"larva",7,"dry",0.381777693826366,"length.interpolate","related","Diptera.456;Diptera.457;Diptera.461",4,"genus",0.810533386766322,6,-2.75887402736784,2.76971956715058,1,NA
